1536912011,2018-09-14 08:00:11,2018-09-14 08:00:11,Janie's_Got_a_Gun,Desolation
1536912310,2018-09-14 08:05:10,2018-09-14 08:05:10,Janie's_Got_a_Gun,Desolation
1536912613,2018-09-14 08:10:13,2018-09-14 08:10:13,Janie's_Got_a_Gun,Desolation
1536912911,2018-09-14 08:15:11,2018-09-14 08:15:11,Janie's_Got_a_Gun,Desolation
1536913212,2018-09-14 08:20:12,2018-09-14 08:20:12,Janie's_Got_a_Gun,Desolation
1536913510,2018-09-14 08:25:10,2018-09-14 08:25:10,Janie's_Got_a_Gun,Desolation
1536913813,2018-09-14 08:30:13,2018-09-14 08:30:13,Janie's_Got_a_Gun,Desolation
1536914111,2018-09-14 08:35:11,2018-09-14 08:35:11,Janie's_Got_a_Gun,Desolation
1536914412,2018-09-14 08:40:12,2018-09-14 08:40:12,Janie's_Got_a_Gun,Desolation
1536914710,2018-09-14 08:45:10,2018-09-14 08:45:10,Janie's_Got_a_Gun,Desolation
1536915011,2018-09-14 08:50:11,2018-09-14 08:50:11,Janie's_Got_a_Gun,Desolation
1536915310,2018-09-14 08:55:10,2018-09-14 08:55:10,Janie's_Got_a_Gun,Desolation
1536915613,2018-09-14 09:00:13,2018-09-14 09:00:13,Janie's_Got_a_Gun,Desolation
1536915911,2018-09-14 09:05:11,2018-09-14 09:05:11,Janie's_Got_a_Gun,Desolation
1536916212,2018-09-14 09:10:12,2018-09-14 09:10:12,Janie's_Got_a_Gun,Desolation
1536916510,2018-09-14 09:15:10,2018-09-14 09:15:10,Janie's_Got_a_Gun,Desolation
1536916811,2018-09-14 09:20:11,2018-09-14 09:20:11,Janie's_Got_a_Gun,Desolation
1536917110,2018-09-14 09:25:10,2018-09-14 09:25:10,Janie's_Got_a_Gun,Desolation
1536917413,2018-09-14 09:30:13,2018-09-14 09:30:13,Janie's_Got_a_Gun,Desolation
1536917710,2018-09-14 09:35:10,2018-09-14 09:35:10,Janie's_Got_a_Gun,Desolation
1536918012,2018-09-14 09:40:12,2018-09-14 09:40:12,Janie's_Got_a_Gun,Desolation
1536918312,2018-09-14 09:45:12,2018-09-14 09:45:12,Janie's_Got_a_Gun,Desolation
1536918611,2018-09-14 09:50:11,2018-09-14 09:50:11,Janie's_Got_a_Gun,Desolation
1536918910,2018-09-14 09:55:10,2018-09-14 09:55:10,Janie's_Got_a_Gun,Desolation
