<<<<<<< HEAD
1536667212,Superman,Blackgate,4162
1536667510,Superman,Blackgate,4162
1536667811,Superman,Blackgate,4165
1536668110,Superman,Blackgate,4171
1536668411,Superman,Blackgate,4177
1536668710,Superman,Blackgate,4183
1536669012,Superman,Blackgate,4191
1536669310,Superman,Blackgate,4199
1536669611,Superman,Blackgate,4203
1536669910,Superman,Blackgate,4203
1536670211,Superman,Blackgate,4211
1536670511,Superman,Blackgate,4212
1536670812,Superman,Blackgate,4214
1536671110,Superman,Blackgate,4216
1536671411,Superman,Blackgate,4224
1536671711,Superman,Blackgate,4229
1536672012,Superman,Blackgate,4236
1536672310,Superman,Blackgate,4236
1536672612,Superman,Blackgate,4236
1536672910,Superman,Blackgate,4237
1536673211,Superman,Blackgate,4244
1536673510,Superman,Blackgate,4244
1536673811,Superman,Blackgate,4252
1536674110,Superman,Blackgate,4257
1536674412,Superman,Blackgate,4262
1536674710,Superman,Blackgate,4269
1536675011,Superman,Blackgate,4275
1536675311,Superman,Blackgate,4276
1536675611,Superman,Blackgate,4280
1536675910,Superman,Blackgate,4288
1536676213,Superman,Blackgate,4292
1536676511,Superman,Blackgate,4298
1536676812,Superman,Blackgate,4305
1536677111,Superman,Blackgate,4306
1536677411,Superman,Blackgate,4309
1536677711,Superman,Blackgate,4310
1536678014,Superman,Blackgate,4314
1536678311,Superman,Blackgate,4316
1536678612,Superman,Blackgate,4318
1536678911,Superman,Blackgate,4320
1536679213,Superman,Blackgate,4321
1536679510,Superman,Blackgate,4321
1536679812,Superman,Blackgate,4328
=======
20180911120012,Superman,Blackgate,4162
20180911120510,Superman,Blackgate,4162
20180911121011,Superman,Blackgate,4165
20180911121510,Superman,Blackgate,4171
20180911122011,Superman,Blackgate,4177
20180911122510,Superman,Blackgate,4183
20180911123012,Superman,Blackgate,4191
20180911123510,Superman,Blackgate,4199
20180911124011,Superman,Blackgate,4203
20180911124510,Superman,Blackgate,4203
20180911125011,Superman,Blackgate,4211
20180911125511,Superman,Blackgate,4212
20180911130012,Superman,Blackgate,4214
20180911130510,Superman,Blackgate,4216
20180911131011,Superman,Blackgate,4224
20180911131511,Superman,Blackgate,4229
20180911132012,Superman,Blackgate,4236
20180911132510,Superman,Blackgate,4236
20180911133012,Superman,Blackgate,4236
20180911133510,Superman,Blackgate,4237
20180911134011,Superman,Blackgate,4244
20180911134510,Superman,Blackgate,4244
20180911135011,Superman,Blackgate,4252
20180911135510,Superman,Blackgate,4257
20180911140012,Superman,Blackgate,4262
20180911140510,Superman,Blackgate,4269
20180911141011,Superman,Blackgate,4275
20180911141511,Superman,Blackgate,4276
20180911142011,Superman,Blackgate,4280
20180911142510,Superman,Blackgate,4288
20180911143013,Superman,Blackgate,4292
20180911143511,Superman,Blackgate,4298
20180911144012,Superman,Blackgate,4305
20180911144511,Superman,Blackgate,4306
20180911145011,Superman,Blackgate,4309
20180911145511,Superman,Blackgate,4310
20180911150014,Superman,Blackgate,4314
20180911150511,Superman,Blackgate,4316
20180911151012,Superman,Blackgate,4318
20180911151511,Superman,Blackgate,4320
20180911152013,Superman,Blackgate,4321
20180911152510,Superman,Blackgate,4321
20180911153012,Superman,Blackgate,4328
