20180815085409,Goofy,Drakkar_Lake,1
20180815092411,Goofy,Drakkar_Lake,5,4
20180815095413,Goofy,Drakkar_Lake,11,6
20180815102415,Goofy,Drakkar_Lake,15,4
20180815105418,Goofy,Drakkar_Lake,17,4
20180815112422,Goofy,Drakkar_Lake,17
20180815115425,Goofy,Drakkar_Lake,17
