1,Riker,Yak's_Bend,11,4,11,7,19,1,15,3,13,3,15,6,14,4,18,3,13,5,20,1,14,4,6,6,169
2,Minnie_Mouse,Ferguson's_Crossing,8,7,21,1,18,2,10,7,8,7,13,7,12,6,16,4,14,4,14,3,13,5,15,1,162
3,Homer,Yak's_Bend,10,5,13,6,17,3,16,2,13,3,4,11,6,10,12,7,17,2,16,2,18,1,13,2,155
4,Bob_the_Dog,Yak's_Bend,14,2,14,5,17,3,11,6,5,10,20,1,11,7,6,12,12,6,12,5,14,4,12,3,148
4,Sylvester,Henge_of_Denravi,7,8,16,4,14,5,14,4,14,2,18,3,5,11,19,2,11,7,13,4,14,4,3,9,148
5,Huey_Duck,Fissure_of_Woe,6,9,16,4,11,7,16,2,13,3,15,6,17,1,5,13,19,1,13,4,5,11,5,7,141
6,Louie_Duck,Fort_Ranik,12,3,8,9,15,4,18,1,5,10,16,5,17,1,9,10,10,8,10,7,13,5,7,5,140
7,Dewey_Duck,Fort_Aspenwood,12,3,13,6,14,5,16,2,6,9,15,6,8,9,11,8,15,3,11,6,11,6,7,5,139
8,Khan,Yak's_Bend,12,3,11,7,8,8,14,4,10,6,10,9,11,7,15,5,6,11,5,11,15,3,7,5,124
9,Tasmanian_Devil,Gunnar's_Hold,5,10,6,10,14,5,16,2,19,1,3,12,13,5,10,9,14,4,4,12,6,10,4,8,114
10,Donald_Duck,Kodash,,,,,,,,,12,4,16,5,16,2,15,5,10,8,16,2,9,7,13,2,107
11,Woody_Woodpecker,Isle_of_Janthir,,,,,,,,,7,8,15,6,12,6,16,4,8,9,14,3,17,2,8,4,97
12,Superman,Blackgate,5,10,17,3,11,7,11,6,13,3,10,9,10,8,14,6,,,,,,,,,91
13,Nite_Hawk,Kaineng,,,,,,,,,11,5,19,2,16,2,12,7,8,9,8,9,14,4,,,88
14,We_Are_Bob,Yak's_Bend,,,,,,,,,13,3,3,12,15,3,21,1,10,8,13,4,8,8,4,8,87
15,Kvothe,Yak's_Bend,,,,,,,,,7,8,17,4,10,8,8,11,7,10,9,8,14,4,12,3,84
16,Starman,Blackgate,9,6,18,2,11,7,16,2,5,10,7,10,5,11,6,12,,,,,,,,,77
17,Legion,Yak's_Bend,,,,,,,,,8,7,11,8,8,9,4,14,14,4,10,7,17,2,2,10,74
18,Fred_Flintstone,Maguuma,,,,,,,,,8,7,17,4,3,12,5,13,15,3,9,8,11,6,4,8,72
19,Spider_Man,Eredon_Terrace,12,3,17,3,13,6,13,5,,,,,,,,,,,,,,,,,55
20,Yogi_Bear,Far_Shiverpeaks,15,1,10,8,14,5,11,6,,,,,,,,,,,,,,,,,50
21,biot.4721,Gandara,,,,,,,,,2,11,3,12,3,12,1,15,2,12,6,10,7,9,,,24
