1,Nite_Hawk,Kaineng,7,10,,14,1,,24,1,,3,10,,16,2,,10,8,,17,1,,2,9,,93
2,Sylvester,Henge_of_Denravi,14,5,,5,10,,13,3,,19,1,,8,9,,11,7,,12,4,,2,9,,84
2,We_Are_Bob,Yak's_Bend,11,8,,7,8,,12,4,,18,2,,9,8,,7,11,,11,5,,9,3,,84
3,Khan,Yak's_Bend,15,4,,7,8,,12,4,,5,9,,14,3,,15,3,,9,7,,6,5,,83
4,Bob_the_Dog,Yak's_Bend,16,3,,6,9,,6,9,,11,5,,12,5,,15,3,,9,7,,7,4,,82
5,Homer,Yak's_Bend,6,11,,5,10,,,,,11,5,,14,3,,15,3,,15,2,,13,1,,79
6,Riker,Yak's_Bend,5,12,,11,4,,8,7,,6,8,,22,1,,14,4,,3,13,,7,4,,76
7,Donald_Duck,Kodash,6,11,,10,5,,13,3,,17,3,,9,8,,8,10,,6,10,,2,9,,71
8,Fred_Flintstone,Maguuma,12,7,,7,8,,2,11,,9,6,,16,2,,9,9,,8,8,,7,4,,70
9,Tasmanian_Devil,Gunnar's_Hold,19,1,,10,5,,11,5,,6,8,,10,7,,9,9,,3,13,,,,,68
10,Kvothe,Yak's_Bend,11,8,,14,1,,13,3,,7,7,,5,12,,7,11,,4,12,,6,5,,67
11,Nite_Owl,Jade_Sea,10,9,,5,10,,7,8,,9,6,,6,11,,8,10,,10,6,,5,6,,60
12,Minnie_Mouse,Ferguson's_Crossing,13,6,,12,3,,18,2,,12,4,,,,,,,,,,,,,,55
13,Legion,Yak's_Bend,1,13,,8,7,,8,7,,7,7,,10,7,,10,8,,5,11,,,,,49
14,Huey_Duck,Fissure_of_Woe,13,6,,13,2,,7,8,,11,5,,,,,,,,,,,,,,44
15,Batgirl,Ruins_of_Surmia,,,,,,,,,,,,,8,9,,18,1,,6,10,,11,2,,43
15,Mario,Gate_of_Madness,17,2,,9,6,,12,4,,5,9,,,,,,,,,,,,,,43
16,Blue_Beetle,Ruins_of_Surmia,,,,,,,,,,,,,9,8,,11,7,,13,3,,9,3,,42
17,Vic_Sage,Underworld,,,,,,,,,,,,,11,6,,15,3,,10,6,,5,6,,41
18,Elmer_Fudd,Sea_of_Sorrows,,,,,,,,,,,,,11,6,,14,4,,8,8,,6,5,,39
18,Superman,Piken_Square,,,,,,,,,,,,,9,8,,16,2,,12,4,,2,9,,39
19,Wally_West,Underworld,,,,,,,,,,,,,5,12,,14,4,,11,5,,6,5,,36
20,Daffy_Duck,Ruins_of_Surmia,,,,,,,,,,,,,14,3,,13,5,,5,11,,3,8,,35
21,Bart,Jade_Quarry,13,6,,7,8,,7,8,,6,8,,,,,,,,,,,,,,33
21,Stitch!,Ring_of_Fire,,,,,,,,,,,,,10,7,,6,12,,15,2,,2,9,,33
21,Tigger,Riverside,,,,,,,,,,,,,13,4,,11,7,,3,13,,6,5,,33
22,Barney_Rubble,Gandara,6,11,,11,4,,9,6,,5,9,,,,,,,,,,,,,,31
22,Pink_Panther,Miller's_Sound,,,,,,,,,,,,,13,4,,10,8,,6,10,,2,9,,31
23,Barbara_Gordon,Ruins_of_Surmia,,,,,,,,,,,,,8,9,,14,4,,3,13,,4,7,,29
24,Tim_Drake,Underworld,,,,,,,,,,,,,7,10,,12,6,,7,9,,2,9,,28
25,Wonder_Woman,Underworld,,,,,,,,,,,,,5,12,,6,12,,9,7,,6,5,,26
26,Woody_Woodpecker,Isle_of_Janthir,5,12,,8,7,,5,10,,6,8,,,,,,,,,,,,,,24
27,Eric_Cartman,Sanctum_of_Rall,,,,,,,,,,,,,7,10,,9,9,,4,12,,2,9,,22
28,Homer_Simpson,Northern_Shiverpeaks,,,,,,,,,,,,,,,,3,13,,,,,2,9,,5
