47,E'telekeli,Borlis_Pass,43,22,,11,15,,,,,,,,,,,982,17,,39,26,,1075
48,Woody_Woodpecker,Isle_of_Janthir,22,37,,32,3,,,,,957,16,,13,29,,49,40,,,,,1073
49,Oracle,Blackgate,22,37,,1,24,,,,,,,,993,15,,40,47,,15,43,,1071
50,Green_Lantern,Aurora_Glade,33,29,,,,,,,,,,,,,,1014,2,,23,37,,1070
51,All_Action_Hero,Blackgate,37,26,,,,,,,,,,,,,,1001,7,,29,32,,1067
52,Jack_Knight,Aurora_Glade,24,35,,8,17,,,,,,,,,,,994,12,,32,30,,1058
53,Dewey_Duck,Fort_Aspenwood,21,38,,,,,,,,1013,1,,,,,16,61,,,,,1050
53,Oh_So_Cute,Blacktide,23,36,,15,11,,,,,,,,,,,990,14,,22,38,,1050
54,Garfield,Ehmry_Bay,14,40,,,,,,,,,,,1008,5,,17,60,,9,46,,1048
55,Road_Runner,Elona_Reach,14,40,,5,20,,,,,,,,993,15,,31,54,,2,51,,1045
56,Louie_Duck,Fort_Ranik,26,33,,,,,,,,998,3,,,,,18,59,,,,,1042
57,Janies_Gotta_Gun,Desolation,32,30,,,,,,,,,,,,,,985,16,,18,41,,1035
58,Kyle_Rayner,Blackgate,31,31,,1,24,,,,,,,,,,,985,16,,16,42,,1033
59,Hal_Jordan,Aurora_Glade,22,37,,2,23,,,,,,,,,,,997,9,,9,46,,1030
60,Hoohoo_Heehee,Darkhaven,21,38,,3,22,,,,,,,,,,,980,18,,25,35,,1029
61,Booster_Gold,Aurora_Glade,2,43,,2,23,,,,,,,,,,,1011,3,,2,51,,1017
62,The_Commander,Baruch_Bay,2,43,,2,23,,,,,,,,,,,1007,4,,4,50,,1015
63,Flash,Aurora_Glade,,,,14,12,,,,,,,,,,,996,10,,4,50,,1014
64,Daredevil,Aurora_Glade,3,42,,,,,,,,,,,,,,1004,6,,2,51,,1009
65,Dick_Grayson,Aurora_Glade,2,43,,15,11,,,,,,,,,,,988,15,,2,51,,1007
66,Bruce_Wayne,Aurora_Glade,4,41,,7,18,,,,,,,,,,,995,11,,,,,1006
66,Green_Arrow,Aurora_Glade,,,,1,24,,,,,,,,,,,1004,6,,1,52,,1006
66,Lightning_Bug,Arborstone,,,,1,24,,,,,,,,,,,1000,8,,5,49,,1006
67,Darth_Maul,Aurora_Glade,,,,5,20,,,,,,,,,,,995,11,,1,52,,1001
68,biot.4721,Gandara,56,13,,155,1,,132,1,,100,24,,80,23,,12,62,,21,39,,556
69,J'onn_J'onzz,Aurora_Glade,,,,,,,,,,,,,,,,33,52,,24,36,,57
