54,Chip_'n'_Dale,Vabbi,57,45,,52,50,,49,47,,61,41,,21,42,,,,,,,,240
55,The_Hulk,Seafarer's_Rest,75,40,,59,47,,41,52,,33,50,,31,38,,,,,,,,239
56,Darth_Maul,Aurora_Glade,44,50,,44,54,,43,51,,54,44,,37,34,,,,,,,,222
57,Janie's_Got_a_Gun,Desolation,42,52,,57,48,,51,46,,26,52,,41,33,,,,,,,,217
58,Hoohoo_Heehee,Darkhaven,45,49,,52,50,,49,47,,33,50,,37,34,,,,,,,,216
59,Piglet,Whiteside_Ridge,50,47,,48,52,,46,49,,42,48,,25,40,,,,,,,,211
60,Garfield,Ehmry_Bay,47,48,,73,42,,45,50,,25,53,,12,46,,,,,,,,202
61,Cry_of_Frustration,Augury_Rock,34,53,,56,49,,46,49,,27,51,,32,37,,,,,,,,195
62,Road_Runner,Elona_Reach,62,43,,52,50,,30,54,,33,50,,9,47,,,,,,,,186
62,Woody_Woodpecker,Isle_of_Janthir,47,48,,51,51,,53,44,,35,49,,,,,,,,,,,186
63,Homer_Simpson,Northern_Shiverpeaks,,,,,,,,,,1,54,,,,,,,,,,,1
